============================================================================
COMPLETE LIST OF EXPORTED FIREBASE CLOUD FUNCTIONS
Source: sos/firebase/functions/src/index.ts (and all referenced modules)
Generated: 2026-02-22
============================================================================

Format: FUNCTION_NAME | TYPE | REGION
(Sorted alphabetically by function name)

--- NOTE: Only actual Cloud Functions are listed (onCall, onRequest, onSchedule,
--- onDocumentCreated, onDocumentUpdated, onDocumentWritten, onDocumentDeleted,
--- onTaskDispatched, beforeUserSignedIn, v1 functions.https.onCall, etc.)
--- Utility functions, types, constants, and classes are excluded.
--- Re-exports of secrets/constants are excluded.
--- Aliased exports are listed under their EXPORTED name (the Firebase function name).

============================================================================
A
============================================================================
acquireInvoiceLock | onCall | europe-west3
acknowledgeAlert | onCall (v1) | europe-west3
acknowledgeServiceBalanceAlert | onCall | europe-west3
acknowledgeThresholdAlert | onCall | europe-west1 (global default)
addManualDomainAuthority | onCall | europe-west1
admin_forfeited_funds_list | onCall | europe-west1
admin_process_exceptional_claim | onCall | europe-west1
admin_routing_get | onCall | europe-west1
admin_routing_upsert | onCall | europe-west1
admin_templates_get | onCall | europe-west1
admin_templates_list | onCall | europe-west1
admin_templates_seed | onCall | europe-west1
admin_templates_upsert | onCall | europe-west1
admin_testSend | onCall | europe-west1
admin_trigger_unclaimed_funds_processing | onCall | europe-west1
admin_unclaimed_funds_list | onCall | europe-west1
admin_unclaimed_funds_stats | onCall | europe-west1
adminAddDisputeNote | onCall | europe-west1
adminAcknowledgeDispute | onCall | europe-west1
adminAlertsDigestDaily | onSchedule | europe-west3
adminAdvanceCycle | onCall | europe-west2
adminAssignDispute | onCall | europe-west1
adminBulkBloggerAction | onCall | europe-west2
adminBulkChatterAction | onCall | europe-west2
adminBulkGroupAdminAction | onCall | europe-west2
adminBulkRefund | onCall | europe-west1
adminBulkUpdateStatus | onCall | europe-west1
adminCancelSubscription (subscription/adminFunctions) | onCall (v1) | europe-west1
adminChangePlan | onCall (v1) | europe-west1
adminCheckRestoreStatus | onCall | europe-west1
adminCleanupOrphanedProviders | onCall | europe-west1
adminCleanupOrphanedSessions | onCall | europe-west1
adminCreateBackup | onCall | europe-west1
adminCreateBloggerArticle | onCall | europe-west2
adminCreateBloggerGuideBestPractice | onCall | europe-west2
adminCreateBloggerGuideCopyText | onCall | europe-west2
adminCreateBloggerGuideTemplate | onCall | europe-west2
adminCreateBloggerResource | onCall | europe-west2
adminCreateBloggerResourceText | onCall | europe-west2
adminCreateChatterTrainingModule | onCall | europe-west2
adminCreateGroupAdminPost | onCall | europe-west2
