new_filename,new_path,language_code,target_country_slug,target_country_name,target_service_slug,target_page_url,alt_localized,title_localized,caption_localized
sos-expat-editorial-visual-global-arabic-square-001.webp,images/ar/global/sos-expat-editorial-visual-global-arabic-square-001.webp,ar,,,,,"Visuel éditorial SOS Expat en arabic, format square, pour contenu média et presse.",SOS Expat press visual arabic global square,"Visuel SOS Expat utilisable pour article, média ou presse en arabic."
sos-expat-editorial-visual-global-arabic-landscape-002.webp,images/ar/global/sos-expat-editorial-visual-global-arabic-landscape-002.webp,ar,,,,,"Visuel éditorial SOS Expat en arabic, format landscape, pour contenu média et presse.",SOS Expat press visual arabic global landscape,"Visuel SOS Expat utilisable pour article, média ou presse en arabic."
sos-expat-editorial-visual-global-arabic-landscape-003.webp,images/ar/global/sos-expat-editorial-visual-global-arabic-landscape-003.webp,ar,,,,,"Visuel éditorial SOS Expat en arabic, format landscape, pour contenu média et presse.",SOS Expat press visual arabic global landscape,"Visuel SOS Expat utilisable pour article, média ou presse en arabic."
sos-expat-editorial-visual-global-arabic-landscape-004.webp,images/ar/global/sos-expat-editorial-visual-global-arabic-landscape-004.webp,ar,,,,,"Visuel éditorial SOS Expat en arabic, format landscape, pour contenu média et presse.",SOS Expat press visual arabic global landscape,"Visuel SOS Expat utilisable pour article, média ou presse en arabic."
sos-expat-editorial-visual-global-arabic-landscape-005.webp,images/ar/global/sos-expat-editorial-visual-global-arabic-landscape-005.webp,ar,,,,,"Visuel éditorial SOS Expat en arabic, format landscape, pour contenu média et presse.",SOS Expat press visual arabic global landscape,"Visuel SOS Expat utilisable pour article, média ou presse en arabic."
sos-expat-editorial-visual-global-arabic-landscape-006.webp,images/ar/global/sos-expat-editorial-visual-global-arabic-landscape-006.webp,ar,,,,,"Visuel éditorial SOS Expat en arabic, format landscape, pour contenu média et presse.",SOS Expat press visual arabic global landscape,"Visuel SOS Expat utilisable pour article, média ou presse en arabic."
sos-expat-editorial-visual-global-arabic-landscape-007.webp,images/ar/global/sos-expat-editorial-visual-global-arabic-landscape-007.webp,ar,,,,,"Visuel éditorial SOS Expat en arabic, format landscape, pour contenu média et presse.",SOS Expat press visual arabic global landscape,"Visuel SOS Expat utilisable pour article, média ou presse en arabic."
sos-expat-editorial-visual-global-arabic-landscape-008.webp,images/ar/global/sos-expat-editorial-visual-global-arabic-landscape-008.webp,ar,,,,,"Visuel éditorial SOS Expat en arabic, format landscape, pour contenu média et presse.",SOS Expat press visual arabic global landscape,"Visuel SOS Expat utilisable pour article, média ou presse en arabic."
sos-expat-editorial-visual-global-arabic-landscape-009.webp,images/ar/global/sos-expat-editorial-visual-global-arabic-landscape-009.webp,ar,,,,,"Visuel éditorial SOS Expat en arabic, format landscape, pour contenu média et presse.",SOS Expat press visual arabic global landscape,"Visuel SOS Expat utilisable pour article, média ou presse en arabic."
sos-expat-editorial-visual-global-arabic-landscape-010.webp,images/ar/global/sos-expat-editorial-visual-global-arabic-landscape-010.webp,ar,,,,,"Visuel éditorial SOS Expat en arabic, format landscape, pour contenu média et presse.",SOS Expat press visual arabic global landscape,"Visuel SOS Expat utilisable pour article, média ou presse en arabic."
sos-expat-editorial-visual-global-arabic-square-011.webp,images/ar/global/sos-expat-editorial-visual-global-arabic-square-011.webp,ar,,,,,"Visuel éditorial SOS Expat en arabic, format square, pour contenu média et presse.",SOS Expat press visual arabic global square,"Visuel SOS Expat utilisable pour article, média ou presse en arabic."
sos-expat-editorial-visual-global-arabic-square-012.webp,images/ar/global/sos-expat-editorial-visual-global-arabic-square-012.webp,ar,,,,,"Visuel éditorial SOS Expat en arabic, format square, pour contenu média et presse.",SOS Expat press visual arabic global square,"Visuel SOS Expat utilisable pour article, média ou presse en arabic."
sos-expat-editorial-visual-global-arabic-landscape-013.webp,images/ar/global/sos-expat-editorial-visual-global-arabic-landscape-013.webp,ar,,,,,"Visuel éditorial SOS Expat en arabic, format landscape, pour contenu média et presse.",SOS Expat press visual arabic global landscape,"Visuel SOS Expat utilisable pour article, média ou presse en arabic."
