source_folder,source_filename,source_path,language_code,language_name,country_slug_default,country_note,new_path,new_filename,asset_type,orientation,original_width,original_height,aspect_ratio,crop_applied,padding_added,alt_suggested,title_suggested,caption_suggested,page_url_pattern
ar,"ChatGPT Image 29 mars 2026, 01_09_10.png","ar/ChatGPT Image 29 mars 2026, 01_09_10.png",ar,arabic,global,default mapping only; replace with exact country when page target is known,images/ar/global/sos-expat-editorial-visual-global-arabic-square-001.webp,sos-expat-editorial-visual-global-arabic-square-001.webp,editorial-visual,square,1024,1024,1024x1024,no,no,"Visuel éditorial SOS Expat en arabic, format square, pour contenu média et presse.",SOS Expat press visual arabic global square,"Visuel SOS Expat utilisable pour article, média ou presse en arabic.",/{lang}/{country}/{service}
ar,"ChatGPT Image 29 mars 2026, 01_10_51.png","ar/ChatGPT Image 29 mars 2026, 01_10_51.png",ar,arabic,global,default mapping only; replace with exact country when page target is known,images/ar/global/sos-expat-editorial-visual-global-arabic-landscape-002.webp,sos-expat-editorial-visual-global-arabic-landscape-002.webp,editorial-visual,landscape,1536,1024,1536x1024,no,no,"Visuel éditorial SOS Expat en arabic, format landscape, pour contenu média et presse.",SOS Expat press visual arabic global landscape,"Visuel SOS Expat utilisable pour article, média ou presse en arabic.",/{lang}/{country}/{service}
ar,"ChatGPT Image 29 mars 2026, 01_14_48.png","ar/ChatGPT Image 29 mars 2026, 01_14_48.png",ar,arabic,global,default mapping only; replace with exact country when page target is known,images/ar/global/sos-expat-editorial-visual-global-arabic-landscape-003.webp,sos-expat-editorial-visual-global-arabic-landscape-003.webp,editorial-visual,landscape,1536,1024,1536x1024,no,no,"Visuel éditorial SOS Expat en arabic, format landscape, pour contenu média et presse.",SOS Expat press visual arabic global landscape,"Visuel SOS Expat utilisable pour article, média ou presse en arabic.",/{lang}/{country}/{service}
ar,"ChatGPT Image 29 mars 2026, 01_18_44.png","ar/ChatGPT Image 29 mars 2026, 01_18_44.png",ar,arabic,global,default mapping only; replace with exact country when page target is known,images/ar/global/sos-expat-editorial-visual-global-arabic-landscape-004.webp,sos-expat-editorial-visual-global-arabic-landscape-004.webp,editorial-visual,landscape,1536,1024,1536x1024,no,no,"Visuel éditorial SOS Expat en arabic, format landscape, pour contenu média et presse.",SOS Expat press visual arabic global landscape,"Visuel SOS Expat utilisable pour article, média ou presse en arabic.",/{lang}/{country}/{service}
ar,"ChatGPT Image 29 mars 2026, 01_51_09.png","ar/ChatGPT Image 29 mars 2026, 01_51_09.png",ar,arabic,global,default mapping only; replace with exact country when page target is known,images/ar/global/sos-expat-editorial-visual-global-arabic-landscape-005.webp,sos-expat-editorial-visual-global-arabic-landscape-005.webp,editorial-visual,landscape,1536,1024,1536x1024,no,no,"Visuel éditorial SOS Expat en arabic, format landscape, pour contenu média et presse.",SOS Expat press visual arabic global landscape,"Visuel SOS Expat utilisable pour article, média ou presse en arabic.",/{lang}/{country}/{service}
ar,"ChatGPT Image 29 mars 2026, 03_16_52.png","ar/ChatGPT Image 29 mars 2026, 03_16_52.png",ar,arabic,global,default mapping only; replace with exact country when page target is known,images/ar/global/sos-expat-editorial-visual-global-arabic-landscape-006.webp,sos-expat-editorial-visual-global-arabic-landscape-006.webp,editorial-visual,landscape,1536,1024,1536x1024,no,no,"Visuel éditorial SOS Expat en arabic, format landscape, pour contenu média et presse.",SOS Expat press visual arabic global landscape,"Visuel SOS Expat utilisable pour article, média ou presse en arabic.",/{lang}/{country}/{service}
ar,"ChatGPT Image 29 mars 2026, 03_43_25.png","ar/ChatGPT Image 29 mars 2026, 03_43_25.png",ar,arabic,global,default mapping only; replace with exact country when page target is known,images/ar/global/sos-expat-editorial-visual-global-arabic-landscape-007.webp,sos-expat-editorial-visual-global-arabic-landscape-007.webp,editorial-visual,landscape,1536,1024,1536x1024,no,no,"Visuel éditorial SOS Expat en arabic, format landscape, pour contenu média et presse.",SOS Expat press visual arabic global landscape,"Visuel SOS Expat utilisable pour article, média ou presse en arabic.",/{lang}/{country}/{service}
ar,"ChatGPT Image 29 mars 2026, 03_55_15.png","ar/ChatGPT Image 29 mars 2026, 03_55_15.png",ar,arabic,global,default mapping only; replace with exact country when page target is known,images/ar/global/sos-expat-editorial-visual-global-arabic-landscape-008.webp,sos-expat-editorial-visual-global-arabic-landscape-008.webp,editorial-visual,landscape,1536,1024,1536x1024,no,no,"Visuel éditorial SOS Expat en arabic, format landscape, pour contenu média et presse.",SOS Expat press visual arabic global landscape,"Visuel SOS Expat utilisable pour article, média ou presse en arabic.",/{lang}/{country}/{service}
ar,"ChatGPT Image 29 mars 2026, 03_55_49.png","ar/ChatGPT Image 29 mars 2026, 03_55_49.png",ar,arabic,global,default mapping only; replace with exact country when page target is known,images/ar/global/sos-expat-editorial-visual-global-arabic-landscape-009.webp,sos-expat-editorial-visual-global-arabic-landscape-009.webp,editorial-visual,landscape,1536,1024,1536x1024,no,no,"Visuel éditorial SOS Expat en arabic, format landscape, pour contenu média et presse.",SOS Expat press visual arabic global landscape,"Visuel SOS Expat utilisable pour article, média ou presse en arabic.",/{lang}/{country}/{service}
ar,"ChatGPT Image 29 mars 2026, 03_56_59.png","ar/ChatGPT Image 29 mars 2026, 03_56_59.png",ar,arabic,global,default mapping only; replace with exact country when page target is known,images/ar/global/sos-expat-editorial-visual-global-arabic-landscape-010.webp,sos-expat-editorial-visual-global-arabic-landscape-010.webp,editorial-visual,landscape,1536,1024,1536x1024,no,no,"Visuel éditorial SOS Expat en arabic, format landscape, pour contenu média et presse.",SOS Expat press visual arabic global landscape,"Visuel SOS Expat utilisable pour article, média ou presse en arabic.",/{lang}/{country}/{service}
ar,"ChatGPT Image 29 mars 2026, 04_01_48.png","ar/ChatGPT Image 29 mars 2026, 04_01_48.png",ar,arabic,global,default mapping only; replace with exact country when page target is known,images/ar/global/sos-expat-editorial-visual-global-arabic-square-011.webp,sos-expat-editorial-visual-global-arabic-square-011.webp,editorial-visual,square,1024,1024,1024x1024,no,no,"Visuel éditorial SOS Expat en arabic, format square, pour contenu média et presse.",SOS Expat press visual arabic global square,"Visuel SOS Expat utilisable pour article, média ou presse en arabic.",/{lang}/{country}/{service}
